time,open,high,low,close,vol,vwap
2017-07-01 11:00:00+00:00,2505.56,2513.38,2495.12,2509.17,114.6,2509.17
2017-07-01 12:00:00+00:00,2509.17,2512.87,2484.99,2488.43,157.36,2488.43
2017-07-01 13:00:00+00:00,2488.43,2488.43,2454.4,2454.43,280.28,2454.43
2017-07-01 14:00:00+00:00,2454.43,2473.93,2450.83,2459.35,289.42,2459.35
2017-07-01 15:00:00+00:00,2459.35,2475.0,2450.0,2467.83,276.82,2467.83
2017-07-01 16:00:00+00:00,2467.83,2469.99,2450.0,2460.01,330.01,2460.01
2017-07-01 17:00:00+00:00,2460.01,2460.68,2428.03,2445.99,370.26,2445.99
2017-07-01 18:00:00+00:00,2445.99,2455.86,2414.0,2425.94,536.06,2425.94
2017-07-01 19:00:00+00:00,2425.94,2437.86,2406.44,2435.99,461.2,2435.99
2017-07-01 20:00:00+00:00,2435.99,2438.95,2404.61,2408.25,671.04,2408.25
2017-07-01 21:00:00+00:00,2408.25,2420.0,2401.0,2416.62,632.73,2416.62
2017-07-01 22:00:00+00:00,2416.62,2425.0,2400.0,2424.99,344.87,2424.99
2017-07-01 23:00:00+00:00,2424.99,2431.94,2414.8,2423.63,355.01,2423.63
2017-07-02 00:00:00+00:00,2423.63,2426.0,2389.99,2391.87,565.71,2391.87
2017-07-02 01:00:00+00:00,2391.87,2419.9,2385.0,2409.9,370.78,2409.9
2017-07-02 02:00:00+00:00,2409.9,2411.0,2385.52,2407.81,387.75,2407.81
2017-07-02 03:00:00+00:00,2407.81,2410.0,2397.63,2404.99,200.61,2404.99
2017-07-02 04:00:00+00:00,2404.99,2412.0,2398.36,2412.0,202.17,2412.0
2017-07-02 05:00:00+00:00,2412.0,2439.99,2411.99,2439.97,354.39,2439.97
2017-07-02 06:00:00+00:00,2439.97,2439.99,2415.19,2421.55,138.82,2421.55
2017-07-02 07:00:00+00:00,2421.55,2439.97,2418.33,2431.95,219.87,2431.95
2017-07-02 08:00:00+00:00,2431.95,2461.99,2428.98,2461.99,307.95,2461.99
2017-07-02 09:00:00+00:00,2461.99,2461.99,2450.0,2457.54,214.1,2457.54
2017-07-02 10:00:00+00:00,2457.54,2457.54,2427.87,2436.07,98.17,2436.07
2017-07-02 11:00:00+00:00,2436.07,2450.0,2427.76,2449.6,112.67,2449.6
2017-07-02 12:00:00+00:00,2449.6,2450.03,2431.65,2440.87,101.0,2440.87
2017-07-02 13:00:00+00:00,2440.87,2450.35,2429.9,2435.62,269.83,2435.62
2017-07-02 14:00:00+00:00,2435.62,2444.29,2425.43,2442.99,221.08,2442.99
2017-07-02 15:00:00+00:00,2442.99,2463.86,2442.99,2463.86,393.42,2463.86
2017-07-02 16:00:00+00:00,2463.86,2479.25,2462.17,2476.41,435.06,2476.41
2017-07-02 17:00:00+00:00,2476.41,2507.54,2474.23,2496.37,1216.26,2496.37
2017-07-02 18:00:00+00:00,2496.37,2526.72,2490.0,2490.08,796.35,2490.08
2017-07-02 19:00:00+00:00,2490.08,2506.11,2478.43,2492.61,649.85,2492.61
2017-07-02 20:00:00+00:00,2492.61,2504.41,2488.01,2504.09,297.05,2504.09
2017-07-02 21:00:00+00:00,2504.09,2525.0,2495.56,2525.0,604.59,2525.0
2017-07-02 22:00:00+00:00,2525.0,2525.0,2506.0,2517.01,454.22,2517.01
2017-07-02 23:00:00+00:00,2517.01,2545.0,2507.57,2516.66,463.27,2516.66
2017-07-03 00:00:00+00:00,2516.66,2519.9,2499.2,2500.97,536.4,2500.97
2017-07-03 01:00:00+00:00,2500.97,2501.0,2495.36,2500.0,448.9,2500.0
2017-07-03 02:00:00+00:00,2500.0,2501.0,2490.32,2491.4,371.84,2491.4
2017-07-03 03:00:00+00:00,2491.4,2497.67,2487.04,2490.83,330.36,2490.83
2017-07-03 04:00:00+00:00,2490.83,2499.92,2487.04,2498.92,484.4,2498.92
2017-07-03 05:00:00+00:00,2498.92,2499.99,2481.72,2497.61,660.14,2497.61
2017-07-03 06:00:00+00:00,2497.61,2499.99,2490.56,2499.98,185.14,2499.98
2017-07-03 07:00:00+00:00,2499.98,2502.0,2481.72,2481.72,297.38,2481.72
2017-07-03 08:00:00+00:00,2481.72,2492.19,2481.72,2483.72,166.93,2483.72
2017-07-03 09:00:00+00:00,2483.72,2493.77,2479.75,2489.09,181.49,2489.09
2017-07-03 10:00:00+00:00,2489.09,2496.13,2480.11,2482.09,186.78,2482.09
2017-07-03 11:00:00+00:00,2482.09,2502.3,2479.75,2502.3,375.44,2502.3
2017-07-03 12:00:00+00:00,2502.3,2524.0,2502.05,2519.38,488.0,2519.38
2017-07-03 13:00:00+00:00,2519.38,2570.0,2518.46,2560.0,754.54,2560.0
2017-07-03 14:00:00+00:00,2560.0,2584.78,2539.37,2550.0,811.11,2550.0
2017-07-03 15:00:00+00:00,2550.0,2576.45,2543.83,2569.98,543.07,2569.98
2017-07-03 16:00:00+00:00,2569.98,2573.97,2555.0,2563.0,447.44,2563.0
2017-07-03 17:00:00+00:00,2563.0,2564.92,2550.0,2552.37,372.57,2552.37
2017-07-03 18:00:00+00:00,2552.37,2553.62,2526.83,2528.8,617.11,2528.8
2017-07-03 19:00:00+00:00,2528.8,2548.02,2528.1,2547.43,332.44,2547.43
2017-07-03 20:00:00+00:00,2547.43,2559.12,2547.16,2556.02,416.77,2556.02
2017-07-03 21:00:00+00:00,2556.02,2559.99,2550.0,2559.98,386.0,2559.98
2017-07-03 22:00:00+00:00,2559.98,2573.84,2552.01,2554.4,387.05,2554.4
2017-07-03 23:00:00+00:00,2554.4,2557.15,2541.9,2542.41,262.95,2542.41
2017-07-04 00:00:00+00:00,2542.41,2564.0,2542.18,2560.93,247.03,2560.93
2017-07-04 01:00:00+00:00,2560.93,2570.0,2560.92,2566.27,276.22,2566.27
2017-07-04 02:00:00+00:00,2566.27,2610.77,2566.0,2607.1,830.62,2607.1
2017-07-04 03:00:00+00:00,2607.1,2625.0,2601.0,2616.28,1266.24,2616.28
2017-07-04 04:00:00+00:00,2616.28,2625.47,2605.17,2620.0,467.02,2620.0
2017-07-04 05:00:00+00:00,2620.0,2636.04,2611.3,2621.0,644.18,2621.0
2017-07-04 06:00:00+00:00,2621.0,2628.15,2615.0,2625.9,329.38,2625.9
2017-07-04 07:00:00+00:00,2625.9,2636.1,2621.02,2630.93,202.35,2630.93
2017-07-04 08:00:00+00:00,2630.93,2630.93,2594.49,2594.49,345.53,2594.49
2017-07-04 09:00:00+00:00,2594.49,2609.99,2593.86,2605.1,112.84,2605.1
2017-07-04 10:00:00+00:00,2605.1,2605.12,2581.12,2594.83,143.89,2594.83
2017-07-04 11:00:00+00:00,2594.83,2614.94,2594.83,2614.93,369.14,2614.93
2017-07-04 12:00:00+00:00,2614.93,2621.57,2609.03,2616.22,256.14,2616.22
2017-07-04 13:00:00+00:00,2616.22,2626.0,2610.07,2617.88,449.95,2617.88
2017-07-04 14:00:00+00:00,2617.88,2621.01,2610.0,2612.72,495.7,2612.72
2017-07-04 15:00:00+00:00,2612.72,2616.13,2577.88,2587.0,547.14,2587.0
2017-07-04 16:00:00+00:00,2587.0,2587.06,2560.0,2570.25,1010.42,2570.25
2017-07-04 17:00:00+00:00,2570.25,2595.89,2567.37,2594.0,489.14,2594.0
2017-07-04 18:00:00+00:00,2594.0,2595.72,2579.56,2586.71,305.56,2586.71
2017-07-04 19:00:00+00:00,2586.71,2588.24,2566.51,2566.51,318.24,2566.51
2017-07-04 20:00:00+00:00,2566.51,2586.99,2563.02,2579.09,216.02,2579.09
2017-07-04 21:00:00+00:00,2579.09,2590.05,2574.71,2582.36,442.23,2582.36
2017-07-04 22:00:00+00:00,2582.36,2596.0,2579.41,2595.98,328.94,2595.98
2017-07-04 23:00:00+00:00,2595.98,2611.45,2591.32,2602.0,580.95,2602.0
2017-07-05 00:00:00+00:00,2602.0,2602.82,2577.51,2578.97,833.53,2578.97
2017-07-05 01:00:00+00:00,2578.97,2593.51,2576.25,2584.27,394.05,2584.27
2017-07-05 02:00:00+00:00,2584.27,2584.32,2571.36,2580.85,397.47,2580.85
2017-07-05 03:00:00+00:00,2580.85,2587.64,2572.89,2576.12,301.5,2576.12
2017-07-05 04:00:00+00:00,2576.12,2579.0,2559.01,2572.85,282.93,2572.85
2017-07-05 05:00:00+00:00,2572.85,2572.85,2561.49,2571.76,260.02,2571.76
2017-07-05 06:00:00+00:00,2571.76,2576.77,2555.34,2563.24,285.46,2563.24
2017-07-05 07:00:00+00:00,2563.24,2567.07,2553.04,2558.37,304.65,2558.37
2017-07-05 08:00:00+00:00,2558.37,2571.65,2552.37,2570.7,283.0,2570.7
2017-07-05 09:00:00+00:00,2570.7,2574.57,2560.8,2568.4,192.25,2568.4
2017-07-05 10:00:00+00:00,2568.4,2575.03,2567.34,2570.01,155.21,2570.01
2017-07-05 11:00:00+00:00,2570.01,2578.93,2569.43,2572.06,214.09,2572.06
2017-07-05 12:00:00+00:00,2572.06,2573.0,2555.72,2555.72,475.8,2555.72
2017-07-05 13:00:00+00:00,2555.72,2575.72,2551.06,2575.72,873.67,2575.72
2017-07-05 14:00:00+00:00,2575.72,2576.99,2556.68,2567.01,638.39,2567.01
2017-07-05 15:00:00+00:00,2567.01,2575.75,2556.38,2573.91,416.4,2573.91
2017-07-05 16:00:00+00:00,2573.91,2585.47,2570.71,2578.96,484.24,2578.96
2017-07-05 17:00:00+00:00,2578.96,2598.0,2573.02,2598.0,443.96,2598.0
2017-07-05 18:00:00+00:00,2598.0,2612.0,2593.24,2603.45,827.54,2603.45
2017-07-05 19:00:00+00:00,2603.45,2624.0,2594.39,2623.79,458.48,2623.79
2017-07-05 20:00:00+00:00,2623.79,2623.99,2604.1,2608.6,456.35,2608.6
2017-07-05 21:00:00+00:00,2608.6,2615.15,2597.92,2615.15,430.78,2615.15
2017-07-05 22:00:00+00:00,2615.15,2630.24,2611.64,2611.64,392.55,2611.64
2017-07-05 23:00:00+00:00,2611.64,2620.0,2602.11,2616.96,378.66,2616.96
2017-07-06 00:00:00+00:00,2616.96,2623.54,2608.93,2615.85,348.66,2615.85
2017-07-06 01:00:00+00:00,2615.85,2615.85,2600.14,2603.01,393.2,2603.01
2017-07-06 02:00:00+00:00,2603.01,2610.0,2603.0,2610.0,234.42,2610.0
2017-07-06 03:00:00+00:00,2610.0,2617.0,2606.86,2616.99,245.43,2616.99
2017-07-06 04:00:00+00:00,2616.99,2617.0,2606.22,2607.97,224.32,2607.97
2017-07-06 05:00:00+00:00,2607.97,2609.93,2596.57,2600.0,217.51,2600.0
2017-07-06 06:00:00+00:00,2600.0,2607.0,2597.23,2605.8,148.25,2605.8
2017-07-06 07:00:00+00:00,2605.8,2609.1,2593.82,2608.09,355.16,2608.09
2017-07-06 08:00:00+00:00,2608.09,2613.0,2601.22,2612.34,228.13,2612.34
2017-07-06 09:00:00+00:00,2612.34,2614.93,2580.73,2585.05,484.7,2585.05
2017-07-06 10:00:00+00:00,2585.05,2604.09,2582.96,2598.16,199.04,2598.16
2017-07-06 11:00:00+00:00,2598.16,2603.0,2590.36,2602.98,297.3,2602.98
2017-07-06 12:00:00+00:00,2602.98,2607.0,2597.44,2598.54,382.97,2598.54
