time,price
2015-08-08 00:00:00+00:00,1.19999
2015-08-09 00:00:00+00:00,1.19999
2015-08-10 00:00:00+00:00,1.19999
2015-08-11 00:00:00+00:00,0.99
2015-08-12 00:00:00+00:00,1.288
2015-08-13 00:00:00+00:00,1.8848
2015-08-14 00:00:00+00:00,1.79504416247808
2015-08-15 00:00:00+00:00,1.78222244301578
2015-08-16 00:00:00+00:00,1.53307377556984
2015-08-17 00:00:00+00:00,1.29638
2015-08-18 00:00:00+00:00,1.08418656925774
2015-08-19 00:00:00+00:00,1.24
2015-08-20 00:00:00+00:00,1.5218
2015-08-21 00:00:00+00:00,1.43588
2015-08-22 00:00:00+00:00,1.4
2015-08-23 00:00:00+00:00,1.35
2015-08-24 00:00:00+00:00,1.23804
2015-08-25 00:00:00+00:00,1.27119
2015-08-26 00:00:00+00:00,1.18
2015-08-27 00:00:00+00:00,1.13646
2015-08-28 00:00:00+00:00,1.295
2015-08-29 00:00:00+00:00,1.179
2015-08-30 00:00:00+00:00,1.32
2015-08-31 00:00:00+00:00,1.30651
2015-09-01 00:00:00+00:00,1.36
2015-09-02 00:00:00+00:00,1.30828087083577
2015-09-03 00:00:00+00:00,1.23357
2015-09-04 00:00:00+00:00,1.23357
2015-09-05 00:00:00+00:00,1.36287107188779
2015-09-06 00:00:00+00:00,1.34
2015-09-07 00:00:00+00:00,1.27561
2015-09-08 00:00:00+00:00,1.26349378725891
2015-09-09 00:00:00+00:00,1.21
2015-09-10 00:00:00+00:00,1.1857
2015-09-11 00:00:00+00:00,0.927715708357686
2015-09-12 00:00:00+00:00,1.14639
2015-09-13 00:00:00+00:00,0.88557
2015-09-14 00:00:00+00:00,0.955
2015-09-15 00:00:00+00:00,0.95
2015-09-16 00:00:00+00:00,0.93634
2015-09-17 00:00:00+00:00,0.875
2015-09-18 00:00:00+00:00,0.85226
2015-09-19 00:00:00+00:00,0.883689479836353
2015-09-20 00:00:00+00:00,0.94116
2015-09-21 00:00:00+00:00,0.94116
2015-09-22 00:00:00+00:00,0.80588
2015-09-23 00:00:00+00:00,0.91
2015-09-24 00:00:00+00:00,0.8
2015-09-25 00:00:00+00:00,0.68233
2015-09-26 00:00:00+00:00,0.77032
2015-09-27 00:00:00+00:00,0.700769905318527
2015-09-28 00:00:00+00:00,0.604208065458796
2015-09-29 00:00:00+00:00,0.68163
2015-09-30 00:00:00+00:00,0.713644313851549
2015-10-01 00:00:00+00:00,0.654722555230859
2015-10-02 00:00:00+00:00,0.66467
2015-10-03 00:00:00+00:00,0.6796
2015-10-04 00:00:00+00:00,0.60954
2015-10-05 00:00:00+00:00,0.60777
2015-10-06 00:00:00+00:00,0.65114
2015-10-07 00:00:00+00:00,0.6
2015-10-08 00:00:00+00:00,0.633798841028638
2015-10-09 00:00:00+00:00,0.635190847457627
2015-10-10 00:00:00+00:00,0.635190847457627
2015-10-11 00:00:00+00:00,0.59931
2015-10-12 00:00:00+00:00,0.63
2015-10-13 00:00:00+00:00,0.601639343658679
2015-10-14 00:00:00+00:00,0.483236302162478
2015-10-15 00:00:00+00:00,0.559861985973115
2015-10-16 00:00:00+00:00,0.525
2015-10-17 00:00:00+00:00,0.52299
2015-10-18 00:00:00+00:00,0.505
2015-10-19 00:00:00+00:00,0.499479725306838
2015-10-20 00:00:00+00:00,0.440034716540035
2015-10-21 00:00:00+00:00,0.42
2015-10-22 00:00:00+00:00,0.546183513734658
2015-10-23 00:00:00+00:00,0.56491
2015-10-24 00:00:00+00:00,0.55606
2015-10-25 00:00:00+00:00,0.624364857977791
2015-10-26 00:00:00+00:00,0.700519544126242
2015-10-27 00:00:00+00:00,0.83
2015-10-28 00:00:00+00:00,0.99
2015-10-29 00:00:00+00:00,1.17940672121566
2015-10-30 00:00:00+00:00,1.12067336586791
2015-10-31 00:00:00+00:00,0.889342571595558
2015-11-01 00:00:00+00:00,0.99
2015-11-02 00:00:00+00:00,0.9878
2015-11-03 00:00:00+00:00,1.04736265341905
2015-11-04 00:00:00+00:00,0.799
2015-11-05 00:00:00+00:00,0.87638
2015-11-06 00:00:00+00:00,0.959652834599649
2015-11-07 00:00:00+00:00,0.911850192869667
2015-11-08 00:00:00+00:00,1.0
2015-11-09 00:00:00+00:00,0.998
2015-11-10 00:00:00+00:00,0.901914669783752
2015-11-11 00:00:00+00:00,0.750047340736411
2015-11-12 00:00:00+00:00,0.88
2015-11-13 00:00:00+00:00,0.89998421975453
2015-11-14 00:00:00+00:00,0.88
2015-11-15 00:00:00+00:00,0.91
2015-11-16 00:00:00+00:00,0.914427235534775
2015-11-17 00:00:00+00:00,0.999284628872005
2015-11-18 00:00:00+00:00,0.996753607247224
2015-11-19 00:00:00+00:00,0.94
2015-11-20 00:00:00+00:00,0.92
2015-11-21 00:00:00+00:00,0.96
2015-11-22 00:00:00+00:00,0.97
2015-11-23 00:00:00+00:00,0.92
2015-11-24 00:00:00+00:00,0.910014781998831
2015-11-25 00:00:00+00:00,0.87
2015-11-26 00:00:00+00:00,0.858832719462303
2015-11-27 00:00:00+00:00,0.88
2015-11-28 00:00:00+00:00,0.907557786090006
2015-11-29 00:00:00+00:00,0.87
2015-11-30 00:00:00+00:00,0.88
2015-12-01 00:00:00+00:00,0.863293395675044
2015-12-02 00:00:00+00:00,0.82
2015-12-03 00:00:00+00:00,0.83
2015-12-04 00:00:00+00:00,0.84
2015-12-05 00:00:00+00:00,0.86993
2015-12-06 00:00:00+00:00,0.82499
2015-12-07 00:00:00+00:00,0.78994398012858
2015-12-08 00:00:00+00:00,0.79461
2015-12-09 00:00:00+00:00,0.80511
2015-12-10 00:00:00+00:00,0.84374
2015-12-11 00:00:00+00:00,0.899800105201637
2015-12-12 00:00:00+00:00,0.96
2015-12-13 00:00:00+00:00,0.91994
